SEXO,EDAD_TRAMO,COMUNA,n,peso_medio,costo_medio,dias_medio,z_peso_medio,z_costo_medio,score_perfil
HOMBRE,40-64,LO ESPEJO,599,10.727895993322203,218.28717896494157,9.25542570951586,1.8927652315008512,1.078919645848027,2.971684877348878
HOMBRE,40-64,RENGO,161,11.904563354037267,171.06039068322983,7.055900621118012,2.3458377455462345,0.6221245539639523,2.967962299510187
HOMBRE,65+,MULCHÉN,261,9.844128352490422,251.83954329501918,8.375478927203066,1.5524729448003158,1.4034506144936518,2.955923559293968
HOMBRE,40-64,PETORCA,56,11.404630357142858,187.04988035714285,11.553571428571429,2.153339927284713,0.7767808554089303,2.9301207826936433
MUJER,65+,TOCOPILLA,141,8.637507092198582,295.2504992907801,11.950354609929079,1.0878667645381133,1.8233375548159974,2.911204319354111
HOMBRE,40-64,LA GRANJA,911,10.600347859495061,216.94839506037323,7.769484083424808,1.8436531752101573,1.065970429122717,2.9096236043328743
HOMBRE,40-64,SAN JOSÉ DE MAIPO,121,10.1308,235.45103140495868,6.181818181818182,1.6628550700967688,1.2449348215075255,2.9077898916042946
HOMBRE,65+,SAN FABIÁN,88,10.893717045454546,204.96228295454546,7.534090909090909,1.956614169169688,0.9500362870833642,2.906650456253052
MUJER,0-17,PEÑAFLOR,254,8.36328188976378,304.7421401574803,9.905511811023622,0.9822771085063212,1.9151442416474613,2.8974213501537824
MUJER,0-17,HUASCO,47,8.42651914893617,302.0697787234043,7.404255319148936,1.006626440315069,1.8892961661962044,2.8959226065112738
MUJER,40-64,PEMUCO,60,10.236071666666668,229.44096,6.85,1.7033896342963142,1.1868031716633398,2.890192805959654
HOMBRE,65+,MELIPEUCO,68,10.004533823529412,238.44113823529412,9.397058823529411,1.614236627941917,1.2738562488160854,2.8880928767580025
HOMBRE,40-64,CHILE CHICO,57,10.136177192982457,232.18935263157897,7.421052631578948,1.6649255433880377,1.2133866491843341,2.8783121925723716
HOMBRE,40-64,RAUCO,113,7.652099999999999,330.7047230088496,8.955752212389381,0.7084384880970571,2.1662640160516777,2.874702504148735
HOMBRE,65+,AISÉN,147,11.119019047619046,190.2684850340136,7.891156462585034,2.0433660821981037,0.8079123990222618,2.8512784812203655
HOMBRE,40-64,MULCHÉN,254,10.477710629921258,214.83495236220475,6.594488188976378,1.7964320490247605,1.0455284239255216,2.841960472950282
HOMBRE,18-39,VICUÑA,80,9.80222625,240.98147749999998,7.4875,1.5363386560854613,1.2984273566567472,2.8347660127422083
HOMBRE,18-39,CALLE LARGA,52,6.222142307692308,382.3504461538462,7.961538461538462,0.15783723215785478,2.6658006923277107,2.8236379244855656
MUJER,0-17,HUALAIHUÉ,28,5.5956464285714285,407.2537642857143,12.321428571428571,-0.08339327398950223,2.906674863707055,2.8232815897175527
MUJER,0-17,SAN PABLO,60,6.616038333333334,366.55093,10.716666666666667,0.30950580780459647,2.5129818855486166,2.822487693353213
HOMBRE,65+,TOLTÉN,105,10.023841904761905,230.27956857142857,8.304761904761905,1.6216711512383581,1.1949145062126094,2.8165856574509673
HOMBRE,40-64,CABILDO,106,9.618180188679245,245.95388584905663,8.68867924528302,1.4654722290163265,1.3465223428146784,2.811994571831005
HOMBRE,18-39,RENGO,92,11.291104347826087,177.79876304347826,7.739130434782608,2.109627051268987,0.6873006019960127,2.7969276532649996
HOMBRE,40-64,LA ESTRELLA,26,11.214080769230769,179.22532692307692,7.0,2.079969335282248,0.701098859344631,2.781068194626879
HOMBRE,40-64,RECOLETA,664,9.619701807228916,242.47919427710843,9.576807228915662,1.4660581240319734,1.3129138313400257,2.778971955371999
HOMBRE,40-64,LA HIGUERA,26,9.45353846153846,248.34286153846153,14.423076923076923,1.4020773871749432,1.369629405760416,2.771706792935359
MUJER,65+,RENGO,223,11.632698654708522,161.47994932735426,5.300448430493273,2.241156994709215,0.5294589557161489,2.770615950425364
HOMBRE,40-64,LLANQUIHUE,133,9.482275939849625,246.7693180451128,8.037593984962406,1.4131426737465462,1.3544095068263577,2.767552180572904
HOMBRE,40-64,MAIPU,2407,10.038192895720814,223.49291703365182,9.285002077274616,1.6271969606300998,1.1292714839877755,2.7564684446178753
HOMBRE,40-64,LAJA,175,9.943213142857143,226.8460217142857,7.365714285714286,1.5906252693857694,1.1617039617491358,2.7523292311349055
HOMBRE,40-64,YUMBEL,147,9.27742857142857,253.15442925170066,8.5578231292517,1.3342667608889764,1.4161686813631702,2.7504354422521464
HOMBRE,40-64,ESTACIÓN CENTRAL,1005,10.641240696517414,198.22714756218906,9.10547263681592,1.8593988490469044,0.8848915482107759,2.7442903972576804
MUJER,0-17,CALLE LARGA,63,9.857684126984127,228.85122857142855,6.714285714285714,1.5576925582907102,1.1810990695657273,2.7387916278564375
HOMBRE,18-39,GALVARINO,46,9.466995652173914,242.6176739130435,13.217391304347826,1.4072590412232782,1.3142532579731412,2.7215122991964193
MUJER,65+,ILLAPEL,122,11.936229508196721,143.76932295081969,6.942622950819672,2.358030710656148,0.3581551788271649,2.716185889483313
MUJER,0-17,RENGO,150,9.074735333333333,257.565152,7.053333333333334,1.256220289957718,1.4588308351193426,2.7150511250770606
HOMBRE,40-64,LIMACHE,269,10.382015241635687,205.18437286245353,7.955390334572491,1.7595848043397844,0.9521844234182815,2.711769227758066
HOMBRE,65+,CALBUCO,275,9.859087272727272,225.4800061818182,9.8,1.558232835679753,1.148491350572902,2.706724186252655
HOMBRE,65+,PETORCA,76,11.406655263157894,163.17620131578946,8.526315789473685,2.154119611747432,0.5458657369330678,2.6999853486805
HOMBRE,65+,MAIPU,3116,10.720569287548138,190.2815323491656,10.179075738125801,1.8899441036990996,0.8080385975155436,2.6979827012146433
HOMBRE,65+,CERRILLOS,513,9.8842216374269,222.63777641325538,10.814814814814815,1.5679107533169634,1.1210002453014247,2.688910998618388
HOMBRE,65+,PUDAHUEL,1432,9.86919155027933,222.97027276536315,9.079608938547485,1.5621234598153126,1.1242162738995627,2.6863397337148753
HOMBRE,40-64,HIJUELAS,79,8.238940506329113,287.21922278481014,9.658227848101266,0.9343998025883683,1.7456560561799441,2.6800558587683123
MUJER,65+,SAN JUAN DE LA COSTA,95,8.761055789473684,266.35654631578944,8.305263157894737,1.1354388488419094,1.5438644764145157,2.6793033252564253
HOMBRE,40-64,PADRE HURTADO,317,9.822081072555205,223.6401498422713,7.242902208201893,1.5439837006166064,1.1306955745683274,2.6746792751849338
HOMBRE,18-39,SANTIAGO,1759,9.12255667993178,250.6884223990904,7.666287663445139,1.2746337672511028,1.3923165443068573,2.66695031155796
HOMBRE,40-64,LEBU,137,10.645772262773724,189.83018248175182,8.700729927007298,1.8611437161052222,0.8036729734352592,2.6648166895404817
MUJER,0-17,CHILLAN VIEJO,65,11.696347692307693,147.78234153846157,4.7384615384615385,2.2656648806627278,0.3969705897659655,2.662635470428693
MUJER,65+,QUEILÉN,51,11.112666666666666,168.71915098039216,9.196078431372548,2.040920115475172,0.599479211265632,2.6403993267408037
HOMBRE,40-64,PEÑAFLOR,450,10.01325488888889,212.34381533333334,6.937777777777778,1.6175946500469673,1.021433218441481,2.6390278684884483
HOMBRE,0-17,RAUCO,76,5.116593421052632,407.2545907894737,10.118421052631579,-0.2678513100700169,2.9066828579593524,2.6388315478893354
HOMBRE,40-64,SAN IGNACIO,96,5.657480208333333,385.48471250000006,10.083333333333334,-0.059584348047484186,2.6961164841838117,2.6365321361363274
MUJER,0-17,PUCÓN,113,6.9935619469026555,329.97386283185847,10.814159292035399,0.45487023144885014,2.159194864117999,2.614065095566849
HOMBRE,18-39,CABRERO,99,8.440166666666666,272.12811414141413,5.646464646464646,1.0118813792851422,1.5996892307783932,2.611570610063535
HOMBRE,65+,SANTIAGO,1907,10.366704771893026,193.15046224436287,9.1069743051914,1.7536895502950836,0.8357879563596872,2.5894775066547706
HOMBRE,40-64,CALDERA,114,10.537258771929825,186.2932859649123,10.289473684210526,1.819360896469086,0.769462792557475,2.588823689026561
HOMBRE,65+,CALERA,326,10.229,198.32732883435582,9.530674846625766,1.7006667085977452,0.8858605388004281,2.5865272473981733
HOMBRE,40-64,CODEGUA,70,9.911948571428573,210.64096857142857,5.9714285714285715,1.5785869325961046,1.004962650118502,2.583549582714607
HOMBRE,65+,NATALES,121,9.39727438016529,230.12472066115703,10.190082644628099,1.3804130581986516,1.1934167595316663,2.573829817730318
MUJER,40-64,VILLA ALEGRE,138,8.730523913043479,256.30064057971015,8.181159420289855,1.1236826342356425,1.4466000095342064,2.5702826437698487
HOMBRE,40-64,LA LIGUA,199,9.057392964824121,241.75392763819096,9.402010050251256,1.2495426589106606,1.3058987821906205,2.555441441101281
HOMBRE,40-64,PANGUIPULLI,238,8.99857268907563,242.79081302521007,8.109243697478991,1.2268940743574044,1.3159279239736976,2.5428219983311022
HOMBRE,40-64,ZAPALLAR,44,8.817818181818181,249.76599090909087,12.840909090909092,1.1572950510800026,1.3833944432586633,2.540689494338666
HOMBRE,65+,PAILLACO,153,9.96427385620915,203.24255098039217,9.705882352941176,1.5987346388342296,0.9334023986964729,2.5321370375307026
HOMBRE,65+,CASABLANCA,260,10.333225384615384,188.09030653846156,8.338461538461539,1.7407984047861587,0.7868442450736921,2.5276426498598505
